,Census Block FIPS Code,Max Advertised Downstream Speed (mbps)
0,01001,1000.0
1,01003,1000.0
2,01005,1000.0
3,01007,1000.0
4,01009,1000.0
5,01011,1000.0
6,01013,1000.0
7,01015,1000.0
8,01017,1000.0
9,01019,1000.0
10,01021,1000.0
11,01023,100.0
12,01025,1000.0
13,01027,940.0
14,01029,1000.0
15,01031,1000.0
16,01033,1000.0
17,01035,1000.0
18,01037,1000.0
19,01039,1000.0
20,01041,1000.0
21,01043,1000.0
22,01045,1000.0
23,01047,940.0
24,01049,1000.0
25,01051,2000.0
26,01053,1000.0
27,01055,1000.0
28,01057,940.0
29,01059,1000.0
30,01061,1000.0
31,01063,100.0
32,01065,1000.0
33,01067,1000.0
34,01069,1000.0
35,01071,1000.0
36,01073,1000.0
37,01075,1000.0
38,01077,1000.0
39,01079,940.0
40,01081,1000.0
41,01083,1000.0
42,01085,940.0
43,01087,1000.0
44,01089,2000.0
45,01091,1000.0
46,01093,940.0
47,01095,1000.0
48,01097,1000.0
49,01099,1000.0
50,01101,1000.0
51,01103,1000.0
52,01105,100.0
53,01107,1000.0
54,01109,1000.0
55,01111,1000.0
56,01113,1000.0
57,01115,1000.0
58,01117,1000.0
59,01119,1000.0
60,01121,1000.0
61,01123,1000.0
62,01125,2000.0
63,01127,1000.0
64,01129,1000.0
65,01131,1000.0
66,01133,1000.0
67,02013,10.0
68,02016,10.0
69,02020,1000.0
70,02050,10.0
71,02060,2.0
72,02068,1000.0
73,02070,10.0
74,02090,1000.0
75,02100,100.0
76,02105,400.0
77,02110,1000.0
78,02122,1000.0
79,02130,1000.0
80,02150,1000.0
81,02164,25.0
82,02170,1000.0
83,02180,35.0
84,02185,25.0
85,02188,35.0
86,02195,1000.0
87,02198,35.0
88,02220,1000.0
89,02230,100.0
90,02240,1000.0
91,02261,1000.0
92,02270,10.0
93,02275,1000.0
94,02282,25.0
95,02290,40.0
96,04001,100.0
97,04003,1000.0
98,04005,1000.0
99,04007,1000.0
100,04009,1000.0
101,04011,1000.0
102,04012,300.0
103,04013,1250.0
104,04015,1000.0
105,04017,5000.0
106,04019,1000.0
107,04021,1000.0
108,04023,1000.0
109,04025,5000.0
110,04027,1000.0
111,05001,100.0
112,05003,1000.0
113,05005,1000.0
114,05007,1000.0
115,05009,1000.0
116,05011,1000.0
117,05013,1000.0
118,05015,1000.0
119,05017,200.0
120,05019,1000.0
121,05021,1000.0
122,05023,1000.0
123,05025,100.0
124,05027,1000.0
125,05029,200.0
126,05031,1000.0
127,05033,1000.0
128,05035,1000.0
129,05037,500.0
130,05039,1000.0
131,05041,1000.0
132,05043,105.0
133,05045,1000.0
134,05047,1000.0
135,05049,1024.0
136,05051,1000.0
137,05053,1000.0
138,05055,1000.0
139,05057,1000.0
140,05059,1000.0
141,05061,1000.0
142,05063,1000.0
143,05065,1000.0
144,05067,500.0
145,05069,1000.0
146,05071,1000.0
147,05073,1000.0
148,05075,500.0
149,05077,150.0
150,05079,100.0
151,05081,1000.0
152,05083,100.0
153,05085,1000.0
154,05087,1000.0
155,05089,1000.0
156,05091,1000.0
157,05093,1000.0
158,05095,100.0
159,05097,1000.0
160,05099,150.0
161,05101,1000.0
162,05103,1000.0
163,05105,1000.0
164,05107,200.0
165,05109,1000.0
166,05111,250.0
167,05113,1000.0
168,05115,940.0
169,05117,1000.0
170,05119,1024.0
171,05121,1000.0
172,05123,500.0
173,05125,1024.0
174,05127,1000.0
175,05129,1000.0
176,05131,1000.0
177,05133,300.0
178,05135,1024.0
179,05137,1000.0
180,05139,1000.0
181,05141,1000.0
182,05143,1000.0
183,05145,1024.0
184,05147,100.0
185,05149,100.0
186,06001,10000.0
187,06003,1000.0
188,06005,200.0
189,06007,1000.0
190,06009,150.0
191,06011,1000.0
192,06013,2000.0
193,06015,940.0
194,06017,1000.0
195,06019,1000.0
196,06021,1000.0
197,06023,1000.0
198,06025,1000.0
199,06027,1000.0
200,06029,10000.0
201,06031,1000.0
202,06033,1000.0
203,06035,1000.0
204,06037,10000.0
205,06039,1000.0
206,06041,2000.0
207,06043,1000.0
208,06045,1000.0
209,06047,1000.0
210,06049,1000.0
211,06051,1000.0
212,06053,1000.0
213,06055,1000.0
214,06057,1000.0
215,06059,1000.0
216,06061,1000.0
217,06063,1000.0
218,06065,1000.0
219,06067,10000.0
220,06069,1000.0
221,06071,2000.0
